rank,delta,name,tier,league,leaguePos,played,won,drawn,lost,goalsFor,goalsAgainst,goalDiff,points,ppg
1,,FC Bayern München,1,Bundesliga,1,1,1,0,0,5,1,4,3,3.0
2,,SC Freiburg,1,Bundesliga,2,1,1,0,0,4,1,3,3,3.0
3,,FC Augsburg,1,Bundesliga,3,1,1,0,0,3,0,3,3,3.0
4,,RB Leipzig,1,Bundesliga,4,1,1,0,0,3,0,3,3,3.0
5,,Borussia Dortmund,1,Bundesliga,5,1,1,0,0,2,0,2,3,3.0
6,,1. FC Köln,1,Bundesliga,6,1,1,0,0,3,2,1,3,3.0
7,,SV 07 Elversberg,1,Bundesliga,7,1,1,0,0,3,2,1,3,3.0
8,,1. FC Union Berlin,1,Bundesliga,8,1,0,1,0,3,3,0,1,1.0
9,,Eintracht Frankfurt,1,Bundesliga,9,1,0,1,0,3,3,0,1,1.0
10,,1. FSV Mainz 05,1,Bundesliga,10,1,0,1,0,0,0,0,1,1.0
11,,SC Paderborn 07,1,Bundesliga,11,1,0,1,0,0,0,0,1,1.0
12,,Bayer 04 Leverkusen,1,Bundesliga,12,1,0,0,1,2,3,-1,0,0.0
13,,TSG Hoffenheim,1,Bundesliga,13,1,0,0,1,2,3,-1,0,0.0
14,,Hamburger SV,1,Bundesliga,14,1,0,0,1,0,2,-2,0,0.0
15,,SV Werder Bremen,1,Bundesliga,15,1,0,0,1,1,4,-3,0,0.0
16,,Borussia Mönchengladbach,1,Bundesliga,16,1,0,0,1,0,3,-3,0,0.0
17,,FC Schalke 04,1,Bundesliga,17,1,0,0,1,0,3,-3,0,0.0
18,,VfB Stuttgart,1,Bundesliga,18,1,0,0,1,1,5,-4,0,0.0
19,0,1. FC Nürnberg,2,2. Bundesliga,1,3,3,0,0,11,3,8,9,3.0
20,0,Hertha BSC,2,2. Bundesliga,2,3,3,0,0,10,4,6,9,3.0
21,1,VfL Wolfsburg,2,2. Bundesliga,3,3,2,1,0,6,2,4,7,2.33
22,5,1. FC Heidenheim 1846,2,2. Bundesliga,4,3,2,0,1,10,10,0,6,2.0
23,5,1. FC Magdeburg,2,2. Bundesliga,5,3,2,0,1,6,6,0,6,2.0
24,8,1. FC Kaiserslautern,2,2. Bundesliga,6,3,1,2,0,2,1,1,5,1.67
25,9,SpVgg Greuther Fürth,2,2. Bundesliga,7,3,1,1,1,7,8,-1,4,1.33
26,-5,Karlsruher SC,2,2. Bundesliga,8,3,1,1,1,4,6,-2,4,1.33
27,-4,Eintracht Braunschweig,2,2. Bundesliga,9,3,1,0,2,9,7,2,3,1.0
28,-4,DSC Arminia Bielefeld,2,2. Bundesliga,10,3,1,0,2,5,6,-1,3,1.0
29,-4,VfL Bochum,2,2. Bundesliga,11,3,1,0,2,1,2,-1,3,1.0
30,-4,Energie Cottbus,2,2. Bundesliga,12,3,1,0,2,6,8,-2,3,1.0
31,4,Hannover 96,2,2. Bundesliga,13,3,1,0,2,2,4,-2,3,1.0
32,4,VfL Osnabrück,2,2. Bundesliga,14,3,1,0,2,4,7,-3,3,1.0
33,-4,Dynamo Dresden,2,2. Bundesliga,15,3,1,0,2,4,8,-4,3,1.0
34,-3,FC St. Pauli,2,2. Bundesliga,16,3,0,2,1,4,5,-1,2,0.67
35,-5,Holstein Kiel,2,2. Bundesliga,17,3,0,2,1,4,6,-2,2,0.67
36,-3,SV Darmstadt 98,2,2. Bundesliga,18,3,0,1,2,2,4,-2,1,0.33
37,0,MSV Duisburg,3,3. Liga,1,3,3,0,0,10,2,8,9,3.0
38,4,Hansa Rostock,3,3. Liga,2,3,2,1,0,10,7,3,7,2.33
39,6,TSG 1899 Hoffenheim II,3,3. Liga,3,3,2,0,1,9,4,5,6,2.0
40,6,Viktoria Köln,3,3. Liga,4,3,2,0,1,9,7,2,6,2.0
41,-3,1. FC Saarbrücken,3,3. Liga,5,3,2,0,1,8,6,2,6,2.0
42,6,SV Meppen,3,3. Liga,6,3,2,0,1,5,3,2,6,2.0
43,8,FC Ingolstadt 04,3,3. Liga,7,3,1,2,0,5,3,2,5,1.67
44,-5,Würzburger Kickers,3,3. Liga,8,3,1,1,1,6,5,1,4,1.33
45,-2,SV Waldhof Mannheim,3,3. Liga,9,3,1,1,1,7,7,0,4,1.33
46,-6,Alemannia Aachen,3,3. Liga,10,3,1,1,1,5,5,0,4,1.33
47,5,Fortuna Köln,3,3. Liga,11,3,1,1,1,3,3,0,4,1.33
48,-7,Preußen Münster,3,3. Liga,12,3,1,1,1,5,6,-1,4,1.33
49,1,Rot-Weiss Essen,3,3. Liga,13,3,1,1,1,3,5,-2,4,1.33
50,3,TSV Havelse,3,3. Liga,14,3,1,0,2,5,6,-1,3,1.0
51,-7,Jahn Regensburg,3,3. Liga,15,3,1,0,2,6,8,-2,3,1.0
52,-5,VfB Stuttgart II,3,3. Liga,16,3,1,0,2,4,6,-2,3,1.0
53,1,Fortuna Düsseldorf,3,3. Liga,17,3,1,0,2,2,4,-2,3,1.0
54,-5,SG Sonnenhof Großaspach,3,3. Liga,18,3,1,0,2,1,4,-3,3,1.0
55,1,SV Wehen Wiesbaden,3,3. Liga,19,3,0,1,2,1,7,-6,1,0.33
56,-1,SC Verl,3,3. Liga,20,3,0,0,3,4,10,-6,0,0.0
57,1,SC Weiche Flensburg 08,4,Regionalliga Nord,1,6,5,1,0,18,6,12,16,2.67
58,2,VfB Oldenburg,4,Regionalliga Nord,2,5,4,1,0,14,4,10,13,2.6
59,2,FSV Schöningen,4,Regionalliga Nord,3,5,4,1,0,10,4,6,13,2.6
60,-3,Rot-Weiß Erfurt,4,Regionalliga Nordost,1,7,5,2,0,23,5,18,17,2.43
61,-2,Chemnitzer FC,4,Regionalliga Nordost,2,7,5,2,0,16,3,13,17,2.43
62,1,VSG Altglienicke Berlin,4,Regionalliga Nordost,4,6,3,3,0,14,9,5,12,2.0
63,12,FSV Zwickau,4,Regionalliga Nordost,3,7,4,1,2,8,9,-1,13,1.86
64,7,Greifswalder FC,4,Regionalliga Nordost,5,6,3,2,1,13,8,5,11,1.83
65,-3,Hannover 96 II,4,Regionalliga Nord,4,6,3,2,1,10,5,5,11,1.83
66,-1,Erzgebirge Aue,4,Regionalliga Nordost,6,6,3,2,1,11,9,2,11,1.83
67,6,Eimsbütteler TV,4,Regionalliga Nord,5,5,3,0,2,10,10,0,9,1.8
68,-1,1. FC Phönix Lübeck,4,Regionalliga Nord,7,4,2,1,1,7,2,5,7,1.75
69,-1,HSC Hannover,4,Regionalliga Nord,8,4,2,1,1,8,6,2,7,1.75
70,-4,FC Carl Zeiss Jena,4,Regionalliga Nordost,7,6,3,1,2,9,5,4,10,1.67
71,3,1. FC Magdeburg II,4,Regionalliga Nordost,8,6,3,1,2,13,10,3,10,1.67
72,-8,1. FC Lok Leipzig,4,Regionalliga Nordost,9,6,3,1,2,12,11,1,10,1.67
73,3,Hallescher FC,4,Regionalliga Nordost,10,6,2,3,1,7,5,2,9,1.5
74,-5,SV Todesfelde,4,Regionalliga Nord,9,5,2,1,2,12,13,-1,7,1.4
75,5,BFC Dynamo,4,Regionalliga Nordost,11,6,2,2,2,8,8,0,8,1.33
76,-6,Atlas Delmenhorst,4,Regionalliga Nord,6,6,2,2,2,8,9,-1,8,1.33
77,-5,SpVgg Drochtersen/Assel,4,Regionalliga Nord,10,5,2,0,3,8,8,0,6,1.2
78,-1,RSV Eintracht 1949,4,Regionalliga Nordost,12,6,1,3,2,9,11,-2,6,1.0
